Algorithm,Experiment,VMid,RT,Cost,Power
HBB-LB,79,6,3600.000,90.000,523.125
HBB-LB,79,7,2025.000,90.000,697.500
HBB-LB,79,8,32400.000,90.000,174.375
HBB-LB,79,9,8100.000,90.000,348.750
HBB-LB,79,10,3600.000,90.000,523.125
HBB-LB,79,11,2025.000,90.000,697.500
HBB-LB,79,12,32400.000,90.000,174.375
HBB-LB,79,13,8100.000,90.000,348.750
HBB-LB,79,14,3600.000,90.000,523.125
HBB-LB,79,15,2025.000,90.000,697.500
HBB-LB,79,16,32400.000,90.000,174.375
HBB-LB,79,17,8100.000,90.000,348.750
HBB-LB,79,18,3600.000,90.000,523.125
HBB-LB,79,19,2025.000,90.000,697.500
HBB-LB,79,20,32400.000,90.000,174.375
HBB-LB,79,21,8100.000,90.000,348.750
HBB-LB,79,22,3600.000,90.000,523.125
HBB-LB,79,23,2025.000,90.000,697.500
HBB-LB,79,24,32400.000,90.000,174.375
HBB-LB,79,25,8100.000,90.000,348.750
HBB-LB,79,28,32400.000,90.000,174.375
HBB-LB,79,26,3600.000,90.000,523.125
HBB-LB,79,27,2025.000,90.000,697.500
HBB-LB,79,29,8100.000,90.000,348.750
HBB-LB,79,30,3600.000,90.000,523.125
HBB-LB,79,31,2025.000,90.000,697.500
HBB-LB,79,32,32400.000,90.000,174.375
HBB-LB,79,33,8100.000,90.000,348.750
HBB-LB,79,34,3600.000,90.000,523.125
HBB-LB,79,35,2025.000,90.000,697.500
HBB-LB,79,36,32400.000,90.000,174.375
HBB-LB,79,37,8100.000,90.000,348.750
HBB-LB,79,38,3600.000,90.000,523.125
HBB-LB,79,39,2025.000,90.000,697.500
HBB-LB,79,40,32400.000,90.000,174.375
HBB-LB,79,41,8100.000,90.000,348.750
HBB-LB,79,42,3600.000,90.000,523.125
HBB-LB,79,43,2025.000,90.000,697.500
HBB-LB,79,44,32400.000,90.000,174.375
HBB-LB,79,45,8100.000,90.000,348.750
HBB-LB,79,46,3600.000,90.000,523.125
HBB-LB,79,47,2025.000,90.000,697.500
HBB-LB,79,48,32400.000,90.000,174.375
HBB-LB,79,49,8100.000,90.000,348.750
HBB-LB,80,0,38664.000,107.400,208.088
HBB-LB,80,1,9666.000,107.400,416.175
HBB-LB,80,2,4296.000,107.400,624.262
HBB-LB,80,3,2416.500,107.400,832.350
HBB-LB,80,4,38664.000,107.400,208.088
HBB-LB,80,5,9666.000,107.400,416.175
HBB-LB,80,6,4296.000,107.400,624.262
HBB-LB,80,7,2416.500,107.400,832.350
HBB-LB,80,8,38664.000,107.400,208.088
HBB-LB,80,9,9666.000,107.400,416.175
HBB-LB,80,10,4296.000,107.400,624.262
HBB-LB,80,11,2416.500,107.400,832.350
HBB-LB,80,12,38664.000,107.400,208.088
HBB-LB,80,13,9666.000,107.400,416.175
HBB-LB,80,14,4296.000,107.400,624.262
HBB-LB,80,15,2416.500,107.400,832.350
HBB-LB,80,16,38664.000,107.400,208.088
HBB-LB,80,17,9666.000,107.400,416.175
HBB-LB,80,18,4296.000,107.400,624.262
HBB-LB,80,19,2416.500,107.400,832.350
HBB-LB,80,20,38664.000,107.400,208.088
HBB-LB,80,21,9666.000,107.400,416.175
HBB-LB,80,22,4296.000,107.400,624.262
HBB-LB,80,23,2416.500,107.400,832.350
HBB-LB,80,24,38664.000,107.400,208.088
HBB-LB,80,25,9666.000,107.400,416.175
HBB-LB,80,28,38664.000,107.400,208.088
HBB-LB,80,26,4296.000,107.400,624.262
HBB-LB,80,27,2416.500,107.400,832.350
HBB-LB,80,29,9666.000,107.400,416.175
HBB-LB,80,30,4296.000,107.400,624.262
HBB-LB,80,31,2416.500,107.400,832.350
HBB-LB,80,32,38664.000,107.400,208.088
HBB-LB,80,33,9666.000,107.400,416.175
HBB-LB,80,34,4296.000,107.400,624.262
HBB-LB,80,35,2416.500,107.400,832.350
HBB-LB,80,36,38664.000,107.400,208.088
HBB-LB,80,37,9666.000,107.400,416.175
HBB-LB,80,38,4296.000,107.400,624.262
HBB-LB,80,39,2416.500,107.400,832.350
HBB-LB,80,40,38664.000,107.400,208.088
HBB-LB,80,41,9666.000,107.400,416.175
HBB-LB,80,42,4296.000,107.400,624.262
HBB-LB,80,43,2416.500,107.400,832.350
HBB-LB,80,44,38664.000,107.400,208.088
HBB-LB,80,45,9666.000,107.400,416.175
HBB-LB,80,46,4296.000,107.400,624.262
HBB-LB,80,47,2416.500,107.400,832.350
HBB-LB,80,48,38664.000,107.400,208.088
HBB-LB,80,49,9666.000,107.400,416.175
HBB-LB,81,0,38448.000,106.800,206.925
HBB-LB,81,1,9612.000,106.800,413.850
HBB-LB,81,2,4272.000,106.800,620.775
HBB-LB,81,3,2403.000,106.800,827.700
HBB-LB,81,4,38448.000,106.800,206.925
HBB-LB,81,5,9612.000,106.800,413.850
HBB-LB,81,6,4272.000,106.800,620.775
HBB-LB,81,7,2403.000,106.800,827.700
HBB-LB,81,8,38448.000,106.800,206.925
HBB-LB,81,9,9612.000,106.800,413.850
HBB-LB,81,10,4272.000,106.800,620.775
HBB-LB,81,11,2403.000,106.800,827.700
HBB-LB,81,12,38448.000,106.800,206.925
HBB-LB,81,13,9612.000,106.800,413.850
HBB-LB,81,14,4272.000,106.800,620.775
HBB-LB,81,15,2403.000,106.800,827.700
HBB-LB,81,16,38448.000,106.800,206.925
HBB-LB,81,17,9612.000,106.800,413.850
HBB-LB,81,18,4272.000,106.800,620.775
HBB-LB,81,19,2403.000,106.800,827.700
HBB-LB,81,20,38448.000,106.800,206.925
HBB-LB,81,21,9612.000,106.800,413.850
HBB-LB,81,22,4272.000,106.800,620.775
HBB-LB,81,23,2403.000,106.800,827.700
HBB-LB,81,24,38448.000,106.800,206.925
HBB-LB,81,25,9612.000,106.800,413.850
HBB-LB,81,28,38448.000,106.800,206.925
HBB-LB,81,26,4272.000,106.800,620.775
HBB-LB,81,27,2403.000,106.800,827.700
HBB-LB,81,29,9612.000,106.800,413.850
HBB-LB,81,30,4272.000,106.800,620.775
HBB-LB,81,31,2403.000,106.800,827.700
HBB-LB,81,32,38448.000,106.800,206.925
HBB-LB,81,33,9612.000,106.800,413.850
HBB-LB,81,34,4272.000,106.800,620.775
HBB-LB,81,35,2403.000,106.800,827.700
HBB-LB,81,36,38448.000,106.800,206.925
HBB-LB,81,37,9612.000,106.800,413.850
HBB-LB,81,38,4272.000,106.800,620.775
HBB-LB,81,39,2403.000,106.800,827.700
HBB-LB,81,40,38448.000,106.800,206.925
HBB-LB,81,41,9612.000,106.800,413.850
HBB-LB,81,42,4272.000,106.800,620.775
HBB-LB,81,43,2403.000,106.800,827.700
HBB-LB,81,44,38448.000,106.800,206.925
HBB-LB,81,45,9612.000,106.800,413.850
HBB-LB,81,46,4272.000,106.800,620.775
HBB-LB,81,47,2403.000,106.800,827.700
HBB-LB,81,48,38448.000,106.800,206.925
HBB-LB,81,49,9612.000,106.800,413.850
HBB-LB,82,0,38232.000,106.200,205.763
HBB-LB,82,1,9558.000,106.200,411.525
HBB-LB,82,2,4248.000,106.200,617.287
HBB-LB,82,3,2389.500,106.200,823.050
HBB-LB,82,4,38232.000,106.200,205.763
HBB-LB,82,5,9558.000,106.200,411.525
HBB-LB,82,6,4248.000,106.200,617.287
HBB-LB,82,7,2389.500,106.200,823.050
HBB-LB,82,8,38232.000,106.200,205.763
HBB-LB,82,9,9558.000,106.200,411.525
HBB-LB,82,10,4248.000,106.200,617.287
HBB-LB,82,11,2389.500,106.200,823.050
HBB-LB,82,12,38232.000,106.200,205.763
HBB-LB,82,13,9558.000,106.200,411.525
HBB-LB,82,14,4248.000,106.200,617.287
HBB-LB,82,15,2389.500,106.200,823.050
HBB-LB,82,16,38232.000,106.200,205.763
HBB-LB,82,17,9558.000,106.200,411.525
HBB-LB,82,18,4248.000,106.200,617.287
HBB-LB,82,19,2389.500,106.200,823.050
HBB-LB,82,20,38232.000,106.200,205.763
HBB-LB,82,21,9558.000,106.200,411.525
HBB-LB,82,22,4248.000,106.200,617.287
HBB-LB,82,23,2389.500,106.200,823.050
HBB-LB,82,24,38232.000,106.200,205.763
HBB-LB,82,25,9558.000,106.200,411.525
HBB-LB,82,28,38232.000,106.200,205.763
HBB-LB,82,26,4248.000,106.200,617.287
HBB-LB,82,27,2389.500,106.200,823.050
HBB-LB,82,29,9558.000,106.200,411.525
HBB-LB,82,30,4248.000,106.200,617.287
HBB-LB,82,31,2389.500,106.200,823.050
HBB-LB,82,32,38232.000,106.200,205.763
HBB-LB,82,33,9558.000,106.200,411.525
HBB-LB,82,34,4248.000,106.200,617.287
HBB-LB,82,35,2389.500,106.200,823.050
HBB-LB,82,36,38232.000,106.200,205.763
HBB-LB,82,37,9558.000,106.200,411.525
HBB-LB,82,38,4248.000,106.200,617.287
HBB-LB,82,39,2389.500,106.200,823.050
HBB-LB,82,40,38232.000,106.200,205.763
HBB-LB,82,41,9558.000,106.200,411.525
HBB-LB,82,42,4248.000,106.200,617.287
HBB-LB,82,43,2389.500,106.200,823.050
HBB-LB,82,44,38232.000,106.200,205.763
HBB-LB,82,45,9558.000,106.200,411.525
HBB-LB,82,46,4248.000,106.200,617.287
HBB-LB,82,47,2389.500,106.200,823.050
HBB-LB,82,48,38232.000,106.200,205.763
HBB-LB,82,49,9558.000,106.200,411.525
HBB-LB,83,0,38016.000,105.600,204.600
HBB-LB,83,1,9504.000,105.600,409.200
HBB-LB,83,2,4224.000,105.600,613.800
HBB-LB,83,3,2376.000,105.600,818.400
HBB-LB,83,4,38016.000,105.600,204.600
HBB-LB,83,5,9504.000,105.600,409.200
HBB-LB,83,6,4224.000,105.600,613.800
HBB-LB,83,7,2376.000,105.600,818.400
HBB-LB,83,8,38016.000,105.600,204.600
HBB-LB,83,9,9504.000,105.600,409.200
HBB-LB,83,10,4224.000,105.600,613.800
HBB-LB,83,11,2376.000,105.600,818.400
HBB-LB,83,12,38016.000,105.600,204.600
HBB-LB,83,13,9504.000,105.600,409.200
HBB-LB,83,14,4224.000,105.600,613.800
HBB-LB,83,15,2376.000,105.600,818.400
HBB-LB,83,16,38016.000,105.600,204.600
HBB-LB,83,17,9504.000,105.600,409.200
HBB-LB,83,18,4224.000,105.600,613.800
HBB-LB,83,19,2376.000,105.600,818.400
HBB-LB,83,20,38016.000,105.600,204.600
HBB-LB,83,21,9504.000,105.600,409.200
HBB-LB,83,22,4224.000,105.600,613.800
HBB-LB,83,23,2376.000,105.600,818.400
HBB-LB,83,24,38016.000,105.600,204.600
HBB-LB,83,25,9504.000,105.600,409.200
HBB-LB,83,28,38016.000,105.600,204.600
HBB-LB,83,26,4224.000,105.600,613.800
HBB-LB,83,27,2376.000,105.600,818.400
HBB-LB,83,29,9504.000,105.600,409.200
HBB-LB,83,30,4224.000,105.600,613.800
HBB-LB,83,31,2376.000,105.600,818.400
HBB-LB,83,32,38016.000,105.600,204.600
HBB-LB,83,33,9504.000,105.600,409.200
HBB-LB,83,34,4224.000,105.600,613.800
HBB-LB,83,35,2376.000,105.600,818.400
HBB-LB,83,36,38016.000,105.600,204.600
HBB-LB,83,37,9504.000,105.600,409.200
HBB-LB,83,38,4224.000,105.600,613.800
HBB-LB,83,39,2376.000,105.600,818.400
HBB-LB,83,40,38016.000,105.600,204.600
HBB-LB,83,41,9504.000,105.600,409.200
HBB-LB,83,42,4224.000,105.600,613.800
HBB-LB,83,43,2376.000,105.600,818.400
HBB-LB,83,44,38016.000,105.600,204.600
HBB-LB,83,45,9504.000,105.600,409.200
HBB-LB,83,46,4224.000,105.600,613.800
HBB-LB,83,47,2376.000,105.600,818.400
HBB-LB,83,48,38016.000,105.600,204.600
HBB-LB,83,49,9504.000,105.600,409.200
HBB-LB,84,0,37800.000,105.000,203.438
HBB-LB,84,1,9450.000,105.000,406.875
HBB-LB,84,2,4200.000,105.000,610.312
HBB-LB,84,3,2362.500,105.000,813.750
HBB-LB,84,4,37800.000,105.000,203.438
HBB-LB,84,5,9450.000,105.000,406.875
HBB-LB,84,6,4200.000,105.000,610.312
HBB-LB,84,7,2362.500,105.000,813.750
HBB-LB,84,8,37800.000,105.000,203.438
HBB-LB,84,9,9450.000,105.000,406.875
HBB-LB,84,10,4200.000,105.000,610.312
HBB-LB,84,11,2362.500,105.000,813.750
HBB-LB,84,12,37800.000,105.000,203.438
HBB-LB,84,13,9450.000,105.000,406.875
HBB-LB,84,14,4200.000,105.000,610.312
HBB-LB,84,15,2362.500,105.000,813.750
HBB-LB,84,16,37800.000,105.000,203.438
HBB-LB,84,17,9450.000,105.000,406.875
HBB-LB,84,18,4200.000,105.000,610.312
HBB-LB,84,19,2362.500,105.000,813.750
HBB-LB,84,20,37800.000,105.000,203.438
HBB-LB,84,21,9450.000,105.000,406.875
HBB-LB,84,22,4200.000,105.000,610.312
HBB-LB,84,23,2362.500,105.000,813.750
HBB-LB,84,24,37800.000,105.000,203.438
HBB-LB,84,25,9450.000,105.000,406.875
HBB-LB,84,28,37800.000,105.000,203.438
HBB-LB,84,26,4200.000,105.000,610.312
HBB-LB,84,27,2362.500,105.000,813.750
HBB-LB,84,29,9450.000,105.000,406.875
HBB-LB,84,30,4200.000,105.000,610.312
HBB-LB,84,31,2362.500,105.000,813.750
HBB-LB,84,32,37800.000,105.000,203.438
HBB-LB,84,33,9450.000,105.000,406.875
HBB-LB,84,34,4200.000,105.000,610.312
HBB-LB,84,35,2362.500,105.000,813.750
HBB-LB,84,36,37800.000,105.000,203.438
HBB-LB,84,37,9450.000,105.000,406.875
HBB-LB,84,38,4200.000,105.000,610.312
HBB-LB,84,39,2362.500,105.000,813.750
HBB-LB,84,40,37800.000,105.000,203.438
HBB-LB,84,41,9450.000,105.000,406.875
HBB-LB,84,42,4200.000,105.000,610.312
HBB-LB,84,43,2362.500,105.000,813.750
HBB-LB,84,44,37800.000,105.000,203.438
HBB-LB,84,45,9450.000,105.000,406.875
HBB-LB,84,46,4200.000,105.000,610.312
HBB-LB,84,47,2362.500,105.000,813.750
HBB-LB,84,48,37800.000,105.000,203.438
HBB-LB,84,49,9450.000,105.000,406.875
HBB-LB,85,0,37584.000,104.400,202.275
HBB-LB,85,1,9396.000,104.400,404.550
HBB-LB,85,2,4176.000,104.400,606.825
HBB-LB,85,3,2349.000,104.400,809.100
HBB-LB,85,4,37584.000,104.400,202.275
HBB-LB,85,5,9396.000,104.400,404.550
HBB-LB,85,6,4176.000,104.400,606.825
HBB-LB,85,7,2349.000,104.400,809.100
HBB-LB,85,8,37584.000,104.400,202.275
HBB-LB,85,9,9396.000,104.400,404.550
HBB-LB,85,10,4176.000,104.400,606.825
HBB-LB,85,11,2349.000,104.400,809.100
HBB-LB,85,12,37584.000,104.400,202.275
HBB-LB,85,13,9396.000,104.400,404.550
HBB-LB,85,14,4176.000,104.400,606.825
HBB-LB,85,15,2349.000,104.400,809.100
HBB-LB,85,16,37584.000,104.400,202.275
HBB-LB,85,17,9396.000,104.400,404.550
HBB-LB,85,18,4176.000,104.400,606.825
HBB-LB,85,19,2349.000,104.400,809.100
HBB-LB,85,20,37584.000,104.400,202.275
HBB-LB,85,21,9396.000,104.400,404.550
HBB-LB,85,22,4176.000,104.400,606.825
HBB-LB,85,23,2349.000,104.400,809.100
HBB-LB,85,24,37584.000,104.400,202.275
HBB-LB,85,25,9396.000,104.400,404.550
HBB-LB,85,28,37584.000,104.400,202.275
HBB-LB,85,26,4176.000,104.400,606.825
HBB-LB,85,27,2349.000,104.400,809.100
HBB-LB,85,29,9396.000,104.400,404.550
HBB-LB,85,30,4176.000,104.400,606.825
HBB-LB,85,31,2349.000,104.400,809.100
HBB-LB,85,32,37584.000,104.400,202.275
HBB-LB,85,33,9396.000,104.400,404.550
HBB-LB,85,34,4176.000,104.400,606.825
HBB-LB,85,35,2349.000,104.400,809.100
HBB-LB,85,36,37584.000,104.400,202.275
HBB-LB,85,37,9396.000,104.400,404.550
HBB-LB,85,38,4176.000,104.400,606.825
HBB-LB,85,39,2349.000,104.400,809.100
HBB-LB,85,40,37584.000,104.400,202.275
HBB-LB,85,41,9396.000,104.400,404.550
HBB-LB,85,42,4176.000,104.400,606.825
HBB-LB,85,43,2349.000,104.400,809.100
HBB-LB,85,44,37584.000,104.400,202.275
HBB-LB,85,45,9396.000,104.400,404.550
HBB-LB,85,46,4176.000,104.400,606.825
HBB-LB,85,47,2349.000,104.400,809.100
HBB-LB,85,48,37584.000,104.400,202.275
HBB-LB,85,49,9396.000,104.400,404.550
HBB-LB,86,0,37368.000,103.800,201.113
HBB-LB,86,1,9342.000,103.800,402.225
HBB-LB,86,2,4152.000,103.800,603.337
HBB-LB,86,3,2335.500,103.800,804.450
HBB-LB,86,4,37368.000,103.800,201.113
HBB-LB,86,5,9342.000,103.800,402.225
HBB-LB,86,6,4152.000,103.800,603.337
HBB-LB,86,7,2335.500,103.800,804.450
HBB-LB,86,8,37368.000,103.800,201.113
HBB-LB,86,9,9342.000,103.800,402.225
HBB-LB,86,10,4152.000,103.800,603.337
HBB-LB,86,11,2335.500,103.800,804.450
HBB-LB,86,12,37368.000,103.800,201.113
HBB-LB,86,13,9342.000,103.800,402.225
HBB-LB,86,14,4152.000,103.800,603.337
HBB-LB,86,15,2335.500,103.800,804.450
HBB-LB,86,16,37368.000,103.800,201.113
HBB-LB,86,17,9342.000,103.800,402.225
HBB-LB,86,18,4152.000,103.800,603.337
HBB-LB,86,19,2335.500,103.800,804.450
HBB-LB,86,20,37368.000,103.800,201.113
HBB-LB,86,21,9342.000,103.800,402.225
HBB-LB,86,22,4152.000,103.800,603.337
HBB-LB,86,23,2335.500,103.800,804.450
HBB-LB,86,24,37368.000,103.800,201.113
HBB-LB,86,25,9342.000,103.800,402.225
HBB-LB,86,28,37368.000,103.800,201.113
HBB-LB,86,26,4152.000,103.800,603.337
HBB-LB,86,27,2335.500,103.800,804.450
HBB-LB,86,29,9342.000,103.800,402.225
HBB-LB,86,30,4152.000,103.800,603.337
HBB-LB,86,31,2335.500,103.800,804.450
HBB-LB,86,32,37368.000,103.800,201.113
HBB-LB,86,33,9342.000,103.800,402.225
HBB-LB,86,34,4152.000,103.800,603.337
HBB-LB,86,35,2335.500,103.800,804.450
HBB-LB,86,36,37368.000,103.800,201.113
HBB-LB,86,37,9342.000,103.800,402.225
HBB-LB,86,38,4152.000,103.800,603.337
HBB-LB,86,39,2335.500,103.800,804.450
HBB-LB,86,40,37368.000,103.800,201.113
HBB-LB,86,41,9342.000,103.800,402.225
HBB-LB,86,42,4152.000,103.800,603.337
HBB-LB,86,43,2335.500,103.800,804.450
HBB-LB,86,44,37368.000,103.800,201.113
HBB-LB,86,45,9342.000,103.800,402.225
HBB-LB,86,46,4152.000,103.800,603.337
HBB-LB,86,47,2335.500,103.800,804.450
HBB-LB,86,48,37368.000,103.800,201.113
HBB-LB,86,49,9342.000,103.800,402.225
HBB-LB,87,0,37152.000,103.200,199.950
HBB-LB,87,1,9288.000,103.200,399.900
HBB-LB,87,2,4128.000,103.200,599.850
HBB-LB,87,3,2322.000,103.200,799.800
HBB-LB,87,4,37152.000,103.200,199.950
HBB-LB,87,5,9288.000,103.200,399.900
HBB-LB,87,6,4128.000,103.200,599.850
HBB-LB,87,7,2322.000,103.200,799.800
HBB-LB,87,8,37152.000,103.200,199.950
HBB-LB,87,9,9288.000,103.200,399.900
HBB-LB,87,10,4128.000,103.200,599.850
HBB-LB,87,11,2322.000,103.200,799.800
HBB-LB,87,12,37152.000,103.200,199.950
HBB-LB,87,13,9288.000,103.200,399.900
HBB-LB,87,14,4128.000,103.200,599.850
HBB-LB,87,15,2322.000,103.200,799.800
HBB-LB,87,16,37152.000,103.200,199.950
HBB-LB,87,17,9288.000,103.200,399.900
HBB-LB,87,18,4128.000,103.200,599.850
HBB-LB,87,19,2322.000,103.200,799.800
HBB-LB,87,20,37152.000,103.200,199.950
HBB-LB,87,21,9288.000,103.200,399.900
HBB-LB,87,22,4128.000,103.200,599.850
HBB-LB,87,23,2322.000,103.200,799.800
HBB-LB,87,24,37152.000,103.200,199.950
HBB-LB,87,25,9288.000,103.200,399.900
HBB-LB,87,28,37152.000,103.200,199.950
HBB-LB,87,26,4128.000,103.200,599.850
HBB-LB,87,27,2322.000,103.200,799.800
HBB-LB,87,29,9288.000,103.200,399.900
HBB-LB,87,30,4128.000,103.200,599.850
HBB-LB,87,31,2322.000,103.200,799.800
HBB-LB,87,32,37152.000,103.200,199.950
HBB-LB,87,33,9288.000,103.200,399.900
HBB-LB,87,34,4128.000,103.200,599.850
HBB-LB,87,35,2322.000,103.200,799.800
HBB-LB,87,36,37152.000,103.200,199.950
HBB-LB,87,37,9288.000,103.200,399.900
HBB-LB,87,38,4128.000,103.200,599.850
HBB-LB,87,39,2322.000,103.200,799.800
HBB-LB,87,40,37152.000,103.200,199.950
HBB-LB,87,41,9288.000,103.200,399.900
HBB-LB,87,42,4128.000,103.200,599.850
HBB-LB,87,43,2322.000,103.200,799.800
HBB-LB,87,44,37152.000,103.200,199.950
HBB-LB,87,45,9288.000,103.200,399.900
HBB-LB,87,46,4128.000,103.200,599.850
HBB-LB,87,47,2322.000,103.200,799.800
HBB-LB,87,48,37152.000,103.200,199.950
HBB-LB,87,49,9288.000,103.200,399.900
HBB-LB,88,0,36936.000,102.600,198.788
HBB-LB,88,1,9234.000,102.600,397.575
HBB-LB,88,2,4104.000,102.600,596.362
HBB-LB,88,3,2308.500,102.600,795.150
HBB-LB,88,4,36936.000,102.600,198.788
HBB-LB,88,5,9234.000,102.600,397.575
HBB-LB,88,6,4104.000,102.600,596.362
HBB-LB,88,7,2308.500,102.600,795.150
HBB-LB,88,8,36936.000,102.600,198.788
HBB-LB,88,9,9234.000,102.600,397.575
HBB-LB,88,10,4104.000,102.600,596.362
HBB-LB,88,11,2308.500,102.600,795.150
HBB-LB,88,12,36936.000,102.600,198.788
HBB-LB,88,13,9234.000,102.600,397.575
HBB-LB,88,14,4104.000,102.600,596.362
HBB-LB,88,15,2308.500,102.600,795.150
HBB-LB,88,16,36936.000,102.600,198.788
HBB-LB,88,17,9234.000,102.600,397.575
HBB-LB,88,18,4104.000,102.600,596.362
HBB-LB,88,19,2308.500,102.600,795.150
HBB-LB,88,20,36936.000,102.600,198.788
HBB-LB,88,21,9234.000,102.600,397.575
HBB-LB,88,22,4104.000,102.600,596.362
HBB-LB,88,23,2308.500,102.600,795.150
HBB-LB,88,24,36936.000,102.600,198.788
HBB-LB,88,25,9234.000,102.600,397.575
HBB-LB,88,28,36936.000,102.600,198.788
HBB-LB,88,26,4104.000,102.600,596.362
HBB-LB,88,27,2308.500,102.600,795.150
HBB-LB,88,29,9234.000,102.600,397.575
HBB-LB,88,30,4104.000,102.600,596.362
HBB-LB,88,31,2308.500,102.600,795.150
HBB-LB,88,32,36936.000,102.600,198.788
HBB-LB,88,33,9234.000,102.600,397.575
HBB-LB,88,34,4104.000,102.600,596.362
HBB-LB,88,35,2308.500,102.600,795.150
HBB-LB,88,36,36936.000,102.600,198.788
HBB-LB,88,37,9234.000,102.600,397.575
HBB-LB,88,38,4104.000,102.600,596.362
HBB-LB,88,39,2308.500,102.600,795.150
HBB-LB,88,40,36936.000,102.600,198.788
HBB-LB,88,41,9234.000,102.600,397.575
HBB-LB,88,42,4104.000,102.600,596.362
HBB-LB,88,43,2308.500,102.600,795.150
HBB-LB,88,44,36936.000,102.600,198.788
HBB-LB,88,45,9234.000,102.600,397.575
HBB-LB,88,46,4104.000,102.600,596.362
HBB-LB,88,47,2308.500,102.600,795.150
HBB-LB,88,48,36936.000,102.600,198.788
HBB-LB,88,49,9234.000,102.600,397.575
HBB-LB,89,0,36720.000,102.000,197.625
HBB-LB,89,1,9180.000,102.000,395.250
HBB-LB,89,2,4080.000,102.000,592.875
HBB-LB,89,3,2295.000,102.000,790.500
HBB-LB,89,4,36720.000,102.000,197.625
HBB-LB,89,5,9180.000,102.000,395.250
HBB-LB,89,6,4080.000,102.000,592.875
HBB-LB,89,7,2295.000,102.000,790.500
HBB-LB,89,8,36720.000,102.000,197.625
HBB-LB,89,9,9180.000,102.000,395.250
HBB-LB,89,10,4080.000,102.000,592.875
HBB-LB,89,11,2295.000,102.000,790.500
HBB-LB,89,12,36720.000,102.000,197.625
HBB-LB,89,13,9180.000,102.000,395.250
HBB-LB,89,14,4080.000,102.000,592.875
HBB-LB,89,15,2295.000,102.000,790.500
HBB-LB,89,16,36720.000,102.000,197.625
HBB-LB,89,17,9180.000,102.000,395.250
HBB-LB,89,18,4080.000,102.000,592.875
HBB-LB,89,19,2295.000,102.000,790.500
HBB-LB,89,20,36720.000,102.000,197.625
HBB-LB,89,21,9180.000,102.000,395.250
HBB-LB,89,22,4080.000,102.000,592.875
HBB-LB,89,23,2295.000,102.000,790.500
HBB-LB,89,24,36720.000,102.000,197.625
HBB-LB,89,25,9180.000,102.000,395.250
HBB-LB,89,28,36720.000,102.000,197.625
HBB-LB,89,26,4080.000,102.000,592.875
HBB-LB,89,27,2295.000,102.000,790.500
HBB-LB,89,29,9180.000,102.000,395.250
HBB-LB,89,30,4080.000,102.000,592.875
HBB-LB,89,31,2295.000,102.000,790.500
HBB-LB,89,32,36720.000,102.000,197.625
HBB-LB,89,33,9180.000,102.000,395.250
HBB-LB,89,34,4080.000,102.000,592.875
HBB-LB,89,35,2295.000,102.000,790.500
HBB-LB,89,36,36720.000,102.000,197.625
HBB-LB,89,37,9180.000,102.000,395.250
HBB-LB,89,38,4080.000,102.000,592.875
HBB-LB,89,39,2295.000,102.000,790.500
HBB-LB,89,40,36720.000,102.000,197.625
HBB-LB,89,41,9180.000,102.000,395.250
HBB-LB,89,42,4080.000,102.000,592.875
HBB-LB,89,43,2295.000,102.000,790.500
HBB-LB,89,44,36720.000,102.000,197.625
HBB-LB,89,45,9180.000,102.000,395.250
HBB-LB,89,46,4080.000,102.000,592.875
HBB-LB,89,47,2295.000,102.000,790.500
HBB-LB,89,48,36720.000,102.000,197.625
HBB-LB,89,49,9180.000,102.000,395.250
HBB-LB,90,0,42984.000,119.400,231.338
HBB-LB,90,1,10746.000,119.400,462.675
HBB-LB,90,2,4776.000,119.400,694.012
HBB-LB,90,3,2686.500,119.400,925.350
HBB-LB,90,4,42984.000,119.400,231.338
HBB-LB,90,5,10746.000,119.400,462.675
HBB-LB,90,6,4776.000,119.400,694.012
HBB-LB,90,7,2686.500,119.400,925.350
HBB-LB,90,8,42984.000,119.400,231.338
HBB-LB,90,9,10746.000,119.400,462.675
HBB-LB,90,10,4776.000,119.400,694.012
HBB-LB,90,11,2686.500,119.400,925.350
HBB-LB,90,12,42984.000,119.400,231.338
HBB-LB,90,13,10746.000,119.400,462.675
HBB-LB,90,14,4776.000,119.400,694.012
HBB-LB,90,15,2686.500,119.400,925.350
HBB-LB,90,16,42984.000,119.400,231.338
HBB-LB,90,17,10746.000,119.400,462.675
HBB-LB,90,18,4776.000,119.400,694.012
HBB-LB,90,19,2686.500,119.400,925.350
HBB-LB,90,20,42984.000,119.400,231.338
HBB-LB,90,21,10746.000,119.400,462.675
HBB-LB,90,22,4776.000,119.400,694.012
HBB-LB,90,23,2686.500,119.400,925.350
HBB-LB,90,24,42984.000,119.400,231.338
HBB-LB,90,25,10746.000,119.400,462.675
HBB-LB,90,28,42984.000,119.400,231.338
HBB-LB,90,26,4776.000,119.400,694.012
HBB-LB,90,27,2686.500,119.400,925.350
HBB-LB,90,29,10746.000,119.400,462.675
HBB-LB,90,30,4776.000,119.400,694.012
HBB-LB,90,31,2686.500,119.400,925.350
HBB-LB,90,32,42984.000,119.400,231.338
HBB-LB,90,33,10746.000,119.400,462.675
HBB-LB,90,34,4776.000,119.400,694.012
HBB-LB,90,35,2686.500,119.400,925.350
HBB-LB,90,36,42984.000,119.400,231.338
HBB-LB,90,37,10746.000,119.400,462.675
