type,experiment_number,VM_ID,VM_exTime,VM_costPerStorage,VM_powerCompsuption
FUZZY,6,26,15.111,10.200,107.525
FUZZY,6,27,7.500,9.000,151.500
FUZZY,6,28,4.000,0.300,0.950
FUZZY,6,29,9.000,2.700,17.100
FUZZY,6,30,5.778,3.900,41.113
FUZZY,6,31,6.250,7.500,126.250
FUZZY,6,32,8.000,0.600,1.900
FUZZY,6,33,11.000,3.300,20.900
FUZZY,6,34,11.111,7.500,79.063
FUZZY,6,36,8.000,0.600,1.900
FUZZY,6,35,6.250,7.500,126.250
FUZZY,6,37,7.000,2.100,13.300
FUZZY,6,38,4.000,2.700,28.463
FUZZY,6,39,6.750,8.100,136.350
FUZZY,6,40,8.000,0.600,1.900
FUZZY,6,41,10.000,3.000,19.000
FUZZY,6,42,7.556,5.100,53.763
FUZZY,6,43,8.250,9.900,166.650
FUZZY,6,44,12.000,0.900,2.850
FUZZY,6,45,8.000,2.400,15.200
FUZZY,6,46,8.444,5.700,60.088
FUZZY,6,47,7.500,9.000,151.500
FUZZY,6,48,4.000,0.300,0.950
FUZZY,6,49,11.000,3.300,20.900
FUZZY,7,0,4.000,0.300,0.950
FUZZY,7,1,13.000,3.900,24.700
FUZZY,7,2,6.667,4.500,47.438
FUZZY,7,3,7.250,8.700,146.450
FUZZY,7,4,32.000,2.400,7.600
FUZZY,7,5,9.000,2.700,17.100
FUZZY,7,6,13.333,9.000,94.875
FUZZY,7,7,6.750,8.100,136.350
FUZZY,7,8,12.000,0.900,2.850
FUZZY,7,9,13.000,3.900,24.700
FUZZY,7,10,4.889,3.300,34.788
FUZZY,7,11,7.750,9.300,156.550
FUZZY,7,12,0.000,0.000,0.000
FUZZY,7,13,11.000,3.300,20.900
FUZZY,7,14,5.333,3.600,37.950
FUZZY,7,15,5.500,6.600,111.100
FUZZY,7,16,28.000,2.100,6.650
FUZZY,7,17,8.000,2.400,15.200
FUZZY,7,18,8.889,6.000,63.250
FUZZY,7,19,8.750,10.500,176.750
FUZZY,7,20,4.000,0.300,0.950
FUZZY,7,21,13.000,3.900,24.700
FUZZY,7,22,13.778,9.300,98.037
FUZZY,7,23,8.000,9.600,161.600
FUZZY,7,24,0.000,0.000,0.000
FUZZY,7,25,8.000,2.400,15.200
FUZZY,7,28,0.000,0.000,0.000
FUZZY,7,29,10.000,3.000,19.000
FUZZY,7,26,8.444,5.700,60.088
FUZZY,7,27,6.000,7.200,121.200
FUZZY,7,30,4.889,3.300,34.788
FUZZY,7,31,6.500,7.800,131.300
FUZZY,7,32,4.000,0.300,0.950
FUZZY,7,33,4.000,1.200,7.600
FUZZY,7,34,9.778,6.600,69.575
FUZZY,7,35,8.000,9.600,161.600
FUZZY,7,36,8.000,0.600,1.900
FUZZY,7,37,14.000,4.200,26.600
FUZZY,7,38,5.778,3.900,41.113
FUZZY,7,39,7.500,9.000,151.500
FUZZY,7,40,8.000,0.600,1.900
FUZZY,7,41,12.000,3.600,22.800
FUZZY,7,42,8.889,6.000,63.250
FUZZY,7,43,8.000,9.600,161.600
FUZZY,7,44,12.000,0.900,2.850
FUZZY,7,45,8.000,2.400,15.200
